model,id,title,authors
book.book,299,Treasure Island,Robert Louis Stevenson/Milo Winter
book.book,302,Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson
book.book,313,100 Years of Lynchings,Ralph Ginzburg
book.book,324,Cien años de soledad,Gabriel García Márquez
book.book,330,On Beyond Zebra!,Dr. Seuss
book.book,332,The Wedding Clause,Debbie Raleigh
book.book,333,The Zebra Wall,Kevin Henkes
book.book,337,El perfume: Historia de un asesino,Patrick Süskind
book.book,348,The Door Into Summer,Robert A. Heinlein
book.book,350,Stranger in a Strange Land,Robert A. Heinlein
book.book,354,To Sail Beyond the Sunset,Robert A. Heinlein
book.book,355,Job: A Comedy of Justice,Robert A. Heinlein
book.book,356,Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein
book.book,357,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams
book.book,359,The Salmon of Doubt (Dirk Gently  #3),Douglas Adams
book.book,362,Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb
book.book,367,Douglas Adams's Starship Titanic,Terry Jones
book.book,377,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf
book.book,382,The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster
book.book,385,On Bullshit,Harry G. Frankfurt
book.book,386,Another Bullshit Night in Suck City,Nick Flynn
book.book,394,Lincoln at Gettysburg: The Words That Remade America,Garry Wills
book.book,397,The Gettysburg Address,Abraham Lincoln/Michael McCurdy
book.book,399,Underworld,Don DeLillo
book.book,400,Libra,Don DeLillo
book.book,403,Americana,Don DeLillo
book.book,404,Running Dog,Don DeLillo
book.book,406,Cosmopolis,Don DeLillo
book.book,407,Great Jones Street,Don DeLillo
book.book,408,The Names,Don DeLillo
book.book,409,Against the Day,Thomas Pynchon
book.book,410,V.,Thomas Pynchon
book.book,411,The Crying of Lot 49,Thomas Pynchon
book.book,412,Gravity's Rainbow,Thomas Pynchon
book.book,413,Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent
book.book,414,Vineland,Thomas Pynchon
book.book,415,Gravity's Rainbow,Thomas Pynchon
book.book,416,Slow Learner: Early Stories,Thomas Pynchon
book.book,418,Been Down So Long It Looks Like Up To Me,Richard Fariña/Thomas Pynchon
book.book,420,The Year of Magical Thinking,Joan Didion
book.book,421,The White Album,Joan Didion
book.book,422,A Book of Common Prayer,Joan Didion
book.book,423,Where I Was From,Joan Didion
book.book,424,Slouching Towards Bethlehem,Joan Didion
book.book,425,Democracy,Joan Didion
book.book,426,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard
book.book,428,Play It As It Lays,Joan Didion/David Thomson
book.book,431,The New York Trilogy,Paul Auster/Art Spiegelman/Luc Sante
book.book,432,City of Glass (The New York Trilogy  #1),Paul Auster
book.book,434,Ghosts (The New York Trilogy  #2),Paul Auster
book.book,435,The Locked Room (The New York Trilogy  #3),Paul Auster
